Year,Total,Under125000,125000to149999,150000to199999,200000to249999,250000to299999,300000to399999,400000to499999,500000to749000,750000andover
2003,100,13.8,13.4,24.3,13.6,10.3,13.1,5.2,4.7,1.6
2008,100,6.4,9.5,21.9,17.7,13,14.2,7.2,6.4,3.7
2013,100,2,6,18,17,16,20,9,8,4
