Year,Under60,60to69,70to79,80to89,90to99,100to124,125to149,150andover
2003,272,199,173,139,97,131,45,31
2004,253,174,173,165,122,179,81,57
2005,215,158,175,157,139,230,108,99
2006,153,121,141,137,116,217,87,78
2007,109,89,116,102,89,151,60,59
2008,72,64,78,72,60,79,28,32
2009,66,56,64,56,41,56,18,19
2010,58,48,60,50,31,42,17,16
2011,54,47,59,43,31,43,16,14
2012,52,57,63,55,39,62,24,16
2013,44,50,65,62,53,91,35,31
